	1570	177	3	888104457
	2123	4713	3	879485318
	856	2325	5	879270459
	1360	1647	2	879539794
	2039	6255	4	874834944
	1640	7107	2	892079237
	835	2355	4	886176814
	1171	2919	4	892738452
	2095	867	4	877881320
	2039	711	2	874833878
	2158	9	4	887736532
	667	3279	2	879196566
	268	573	5	892430094
	716	4611	2	883748450
	443	1665	4	875747401
	1122	1407	5	876861185
	352	1479	3	877052329
	2109	591	4	882075827
	1577	1161	4	879539727
	2032	531	4	880731963
	681	1167	3	884238860
	1101	1647	4	886890835
	1269	6489	1	878962623
	1948	3621	5	891295330
	1934	4779	1	874791932
	51	195	4	891350932
	72	99	4	877888877
	1990	1827	4	885329322
	1409	5877	2	884114233
	1934	3387	3	874791805
	2011	1965	5	875333916
	1724	1209	5	884921594
	1696	6825	5	879741196
	1745	1449	5	879641194
	695	27	5	886519097
	1248	1995	3	882823437
	1759	603	4	886271884
	569	2595	2	876535131
	1822	1935	4	890618898
	177	1089	5	885853415
	415	1179	5	888205088
	506	4077	2	880037164
	611	2307	4	879877127
	2032	861	5	880474293
	296	2541	5	881107687
	2046	3093	4	881103977
	807	123	3	881171009
	142	1731	1	879667584
	1409	1317	4	884112673
	93	3159	3	882141053
	1724	5517	4	884920949
	968	159	5	879024232
	1171	1395	1	892738341
	422	2565	5	883326620
	401	1827	5	883698581
	1563	1647	4	891550094
	1325	3075	4	893277702
	1703	93	3	879987440
	646	6297	1	890251826
	1724	2499	3	884923047
	1360	993	4	879546723
	1689	4143	2	887249482
	1248	1491	4	882823954
	1780	8667	3	886475558
	2053	33	3	888906576
	891	1377	5	884364867
	1577	1425	5	879539643
	2095	1377	3	878192429
	1577	2883	5	879540748
	1934	327	3	874791025
	2039	867	5	874835091
	1556	2199	4	878183381
	1871	3111	5	878971773
	296	2421	3	881108684
	79	669	4	891903862
	667	3753	4	888954412
	58	2031	4	879361873
	1136	153	4	877635573
	611	6099	4	879876194
	1955	927	5	875296291
	1017	1653	2	885557505
	835	6921	5	874781198
	436	2991	4	879373848
	436	2295	3	879375537
	198	1257	4	881961214
	947	141	4	879857765
	226	1767	3	883709863
	632	2295	5	891383835
	2004	1251	4	877531942
	2053	4113	3	888905170
	1514	867	4	880234639
	1164	1971	5	886397722
	1752	2979	4	878090499
	1899	795	5	885848672
	1122	1047	5	876860807
	1857	711	4	875320714
	1388	2991	3	884207492
	296	579	5	881107178
	1178	909	5	884288058
	772	1845	4	886987260
